"IBRC_Geo_ID","State","District Name","Year","Total Population","White Alone","Black Alone","American Indian or Alaskan Native","Asian Alone","Hawaiian or Pacific Islander Alone","Two or More Races","Not Hispanic","Hispanic"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1990","41125.0","37508.0","199.0","3003.0","415.0","","","40421.0","704.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1991","42649.0","38893.0","204.0","3120.0","432.0","","","41913.0","736.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1992","43496.0","39670.0","212.0","3173.0","441.0","","","42748.0","748.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1993","44201.0","40265.0","219.0","3251.0","466.0","","","43431.0","770.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1994","45588.0","41435.0","237.0","3423.0","493.0","","","44761.0","827.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1995","46719.0","42408.0","232.0","3561.0","518.0","","","45857.0","862.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1996","47859.0","43325.0","255.0","3725.0","554.0","","","46957.0","902.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1997","48544.0","43777.0","280.0","3909.0","578.0","","","47600.0","944.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1998","49196.0","44232.0","293.0","4080.0","591.0","","","48231.0","965.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","1999","49729.0","44652.0","295.0","4169.0","613.0","","","48724.0","1005.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2000","49618.0","43353.0","236.0","3760.0","488.0","88.0","1693.0","48530.0","1088.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2001","49986.0","43611.0","273.0","3729.0","512.0","79.0","1782.0","48826.0","1160.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2002","50804.0","44144.0","287.0","3811.0","538.0","89.0","1935.0","49547.0","1257.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2003","50963.0","44214.0","283.0","3808.0","547.0","91.0","2020.0","49657.0","1306.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2004","51404.0","44423.0","271.0","3819.0","570.0","110.0","2211.0","50055.0","1349.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2005","51590.0","44557.0","283.0","3829.0","562.0","111.0","2248.0","50188.0","1402.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2006","52253.0","44951.0","279.0","3909.0","573.0","122.0","2419.0","50789.0","1464.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2007","53272.0","45711.0","277.0","3975.0","618.0","115.0","2576.0","51747.0","1525.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2008","53655.0","45974.0","278.0","3994.0","649.0","130.0","2630.0","52083.0","1572.0"
"6500001                             ","AK","Kenai Peninsula Economic Development District","2009","54796.0","46817.0","276.0","4119.0","626.0","133.0","2825.0","53177.0","1619.0"
