"IBRC_Geo_ID","Metrofips/Microfips","Description","Year","Geography","Total Population","White Alone","Black Alone","American Indian or Alaskan Native","Asian Alone","Hawaiian or Pacific Islander Alone","Two or More Races","Not Hispanic","Hispanic"
"210100","10100","Aberdeen, SD","1990","Micro","39873.0","38721.0","38.0","976.0","138.0","","","39767.0","106.0"
"210100","10100","Aberdeen, SD","1991","Micro","39906.0","38732.0","42.0","988.0","144.0","","","39803.0","103.0"
"210100","10100","Aberdeen, SD","1992","Micro","40098.0","38893.0","52.0","1011.0","142.0","","","39995.0","103.0"
"210100","10100","Aberdeen, SD","1993","Micro","40308.0","39144.0","50.0","967.0","147.0","","","40204.0","104.0"
"210100","10100","Aberdeen, SD","1994","Micro","40427.0","39273.0","61.0","948.0","145.0","","","40311.0","116.0"
"210100","10100","Aberdeen, SD","1995","Micro","40567.0","39431.0","50.0","937.0","149.0","","","40441.0","126.0"
"210100","10100","Aberdeen, SD","1996","Micro","40667.0","39471.0","64.0","974.0","158.0","","","40530.0","137.0"
"210100","10100","Aberdeen, SD","1997","Micro","40454.0","39227.0","75.0","994.0","158.0","","","40301.0","153.0"
"210100","10100","Aberdeen, SD","1998","Micro","40202.0","38964.0","80.0","1003.0","155.0","","","40035.0","167.0"
"210100","10100","Aberdeen, SD","1999","Micro","40072.0","38793.0","95.0","1022.0","162.0","","","39890.0","182.0"
"210100","10100","Aberdeen, SD","2000","Micro","39825.0","38278.0","104.0","966.0","151.0","34.0","292.0","39566.0","259.0"
"210100","10100","Aberdeen, SD","2001","Micro","39602.0","37954.0","131.0","963.0","191.0","41.0","322.0","39270.0","332.0"
"210100","10100","Aberdeen, SD","2002","Micro","39417.0","37703.0","137.0","979.0","189.0","47.0","362.0","39066.0","351.0"
"210100","10100","Aberdeen, SD","2003","Micro","39419.0","37575.0","145.0","1027.0","233.0","39.0","400.0","39039.0","380.0"
"210100","10100","Aberdeen, SD","2004","Micro","39440.0","37540.0","157.0","1047.0","227.0","37.0","432.0","39028.0","412.0"
"210100","10100","Aberdeen, SD","2005","Micro","39569.0","37602.0","159.0","1027.0","267.0","56.0","458.0","39132.0","437.0"
"210100","10100","Aberdeen, SD","2006","Micro","39604.0","37616.0","166.0","1034.0","271.0","44.0","473.0","39138.0","466.0"
"210100","10100","Aberdeen, SD","2007","Micro","39847.0","37794.0","168.0","1050.0","288.0","42.0","505.0","39356.0","491.0"
"210100","10100","Aberdeen, SD","2008","Micro","39915.0","37774.0","175.0","1091.0","300.0","48.0","527.0","39422.0","493.0"
"210100","10100","Aberdeen, SD","2009","Micro","40219.0","37974.0","200.0","1104.0","326.0","47.0","568.0","39692.0","527.0"
